2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:20.405-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.428-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:52:20.429-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.430-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:52:20.431-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:20.431-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:20.431-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.200-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
2026-05-22T10:52:36.200-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /auth/me
2026-05-22T10:52:36.203-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:52:36.203-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /auth/me
2026-05-22T10:52:36.205-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:52:36.205-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /auth/me
2026-05-22T10:52:36.412-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.412-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:52:36.413-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:52:36.414-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.416-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:52:36.416-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.417-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:52:36.417-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.419-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:36.419-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
2026-05-22T10:52:36.419-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:36.419-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:40.886-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:40.889-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:40.891-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:41.729-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=2&size=5
2026-05-22T10:52:41.731-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=2&size=5
2026-05-22T10:52:41.734-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=2&size=5
2026-05-22T10:52:43.223-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:43.225-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:43.227-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=1&size=5
2026-05-22T10:52:44.210-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:44.212-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:52:44.214-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:56:30.217-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/metricas
2026-05-22T10:56:30.217-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:56:30.219-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/ultimos-pagos?page=0&size=5
2026-05-22T10:56:30.219-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /api/reportes/metricas
2026-05-22T10:56:30.223-03:00 DEBUG 22560 --- [backend] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /api/reportes/metricas
